"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Ene 2020","3.417,00","3.287,23","3.429,45","3.238,60","4,01%"
"Dic 2019","3.285,23","3.518,00","3.528,75","3.264,68","-6,55%"
"Nov 2019","3.515,50","3.380,00","3.549,20","3.295,06","4,10%"
"Oct 2019","3.377,00","3.480,00","3.504,00","3.369,50","-2,87%"
"Sep 2019","3.476,75","3.442,65","3.491,00","3.346,25","1,08%"
"Ago 2019","3.439,65","3.280,93","3.495,54","3.279,93","4,92%"
"Jul 2019","3.278,43","3.212,75","3.304,85","3.163,68","2,10%"
"Jun 2019","3.211,00","3.380,00","3.382,35","3.169,64","-4,86%"
"May 2019","3.375,00","3.233,25","3.394,83","3.225,75","4,45%"
"Abr 2019","3.231,25","3.188,03","3.253,51","3.092,69","1,42%"
"Mar 2019","3.186,03","3.081,50","3.207,00","3.072,00","3,43%"
"Feb 2019","3.080,25","3.105,00","3.164,45","3.065,65","-0,74%"
"Ene 2019","3.103,25","3.247,50","3.264,99","3.102,49","-4,37%"
"Dic 2018","3.245,00","3.234,00","3.303,50","3.138,55","0,39%"
"Nov 2018","3.232,50","3.219,50","3.296,03","3.126,83","0,54%"
"Oct 2018","3.215,13","2.962,80","3.229,04","2.961,55","8,63%"
"Sep 2018","2.959,80","3.051,50","3.113,23","2.959,16","-2,84%"
"Ago 2018","3.046,25","2.890,50","3.082,40","2.883,48","5,48%"
"Jul 2018","2.888,10","2.931,05","2.942,48","2.851,18","-1,40%"
"Jun 2018","2.929,25","2.893,50","2.961,23","2.820,18","1,37%"
"May 2018","2.889,70","2.800,71","2.944,06","2.798,20","3,06%"
"Abr 2018","2.804,00","2.793,05","2.832,92","2.684,60","0,50%"
"Mar 2018","2.790,00","2.866,75","2.905,00","2.767,52","-2,63%"
"Feb 2018","2.865,50","2.830,20","2.946,00","2.792,48","1,28%"
"Ene 2018","2.829,40","2.979,13","2.986,33","2.758,09","-5,12%"
"Dic 2017","2.982,00","3.015,45","3.037,30","2.953,25","-1,00%"
"Nov 2017","3.011,99","3.041,80","3.082,00","2.968,50","-0,95%"
"Oct 2017","3.041,00","2.939,00","3.048,50","2.913,55","3,69%"
"Sep 2017","2.932,65","2.945,75","2.951,27","2.887,00","-0,49%"
